Segment;Number;m (%);X (%);Y (%);Z (%);rxx (%);ryy (%);rzz (%);rxy (%);rxz (%);ryz (%)
Head & Neck;1;6.7;1.6;57.5;0.1;29;23;30;4i;1;0
Thorax;2;26.3;2.1;-52.8;0.1;39;33;35;12i;3i;1
Abdomen;3;4.1;24.4;-41.5;0.5;67;77;55;20;3i;5i
Rigth Arm;4;2.2;-7.3;-45.4;-2.8;33;17;33;3;5i;14
Rigth Forearm;5;1.3;2.1;-41.1;1.9;26;14;25;10;4;13i
Rigth Hand;6;0.5;7.7;-76.8;4.8;63;43;58;29;23;28i
Left Arm;7;2.2;-7.3;-45.4;-2.8;33;17;33;3;5;14i
Left Forearm;8;1.3;2.1;-41.1;1.9;26;14;25;10;4i;13
Left Hand;9;0.5;7.7;-76.8;4.8;63;43;58;29;23i;28
Pelvis;10;14.6;-0.9;-23.2;0.2;91;100;79;34i;1i;1i
Rigth Thigh;11;14.6;-7.7;-37.7;0.9;31;19;32;7;2i;7i
Rigth Leg;12;4.5;-4.9;-40.4;3.1;28;10;28;2;1;6
Rigth Foot;13;1.0;27.0;-21.8;3.9;17;36;35;10i;6;4i
Left Thigh;14;14.6;-7.7;-37.7;0.9;31;19;32;7;2;7
Left Leg;15;4.5;-4.9;-40.4;3.1;28;10;28;2;1i;6i
Left Foot;16;1.0;27.0;-21.8;3.9;17;36;35;10i;6i;4
